Song Sparrow,,, 1, In underbrush, Fresh Pond,,,09/08/2016,18:10,MA,US,incidental,1,30,N,,,,
Common Grackle,,, 1, Flying into marsh reeds, Alewife Marsh,,,09/11/2016,13:00,MA,US,incidental,1,30,N,,,,
Osprey,,, 1, Flying, Quincy,,,09/17/2016,15:00,MA,US,incidental,1,30,N,,,,
Little Egret,,, 15, On shore and flying in flock, Cohasset,,,09/17/2016,19:00,MA,US,stationary,1,30,N,,,,
Sharp-shinned Hawk,,, 1, Flying and roosting near farm, Cohasset,,,09/18/2016,16:00,MA,US,incidental,1,30,N,,,,
Black-Capped Chickadee,,, 1, Hopping through scrub, Cohasset,,,09/18/2016,16:10,MA,US,incidental,1,30,N,,,,
Grey Catbird,,, 1, Hopping through scrub, Cohasset,,,09/18/2016,16:10,MA,US,incidental,1,30,N,,,,
Downy Woodpecker,,, 2, On trees, Cohasset,,,09/18/2016,16:10,MA,US,incidental,1,30,N,,,,
Bald Eagle,,, 1, Flying over the valley, Richmond VT,,,09/24/2016,10:30,VT,US,incidental,1,30,N,,,,
Red-wing Blackbird,,, 30, Flying around a marsh, Upstate NY,,,10/08/2016,15:00,NY,US,incidental,1,30,N,,,,
Ring-billed Gull,,, 5, Sitting on the pier, Toronto,,,10/13/2016,14:00,ON,CA,incidental,1,30,N,,,,
Dark-eyed Junco,,, 30, Feeding and flying through roadside scrub, Easton,,,10/31/2016,16:00,CT,US,incidental,1,30,N,,,,
Pileated Woodpecker,,, 1, Flying through tree tops, Easton,,,11/01/2016,15:55,CT,US,incidental,1,30,N,,,,
Brown-eared Bulbul,,, 5, Flying around, Tokyo,,,11/04/2016,07:20,13,JP,incidental,1,30,N,,,,
Jungle Crow,,, 5, Flying around, Tokyo,,,11/04/2016,07:20,13,JP,incidental,1,30,N,,,,
Japanese White-eye,,, 4, Eating berries in a tree, Tokyo,,,11/04/2016,07:20,13,JP,traveling,1,30,N,.5,,,
Pintail,,, 5, male and female Swimming in park, Tokyo,,,11/04/2016,07:20,13,JP,traveling,1,30,N,.5,,,
Eurasian Tree Sparrow,,, 4, Grazing in garden, Tokyo,,,11/04/2016,07:25,13,JP,traveling,1,30,N,.5,,,
Oriental Turtle Dove,,, 1, Perched in tree, Tokyo,,,11/04/2016,07:30,13,JP,traveling,1,30,N,.5,,,
Japanese Wagtail,,, 1, Wagging, Tokyo,,,11/04/2016,07:40,13,JP,traveling,1,30,N,.5,,,
Meadow Bunting,,, 3, Singing on tree top, Yokkaichi,,,11/05/2016,07:20,24,JP,traveling,1,30,N,.5,,,
White-cheeked Starling,,, 7, Flying and sitting in a tree, Yokkaichi,,,11/05/2016,07:40,24,JP,traveling,1,30,N,.5,,,
Lesser Spotted Woodpecker,,, 1, Arboreal, Mt. Gozaisho,,,11/05/2016,11:00,24,JP,incidental,1,30,N,,,,
Great Cormorant,,, 5, Flying in formations, Yokkaichi,,,11/05/2016,19:00,24,JP,incidental,1,30,N,,,,
Daurian Redstart,,, 5, male and female In the fringes, Yokkaichi,,,11/06/2016,07:00,24,JP,traveling,1,30,N,1,,,
Bull-Headed Shrike,,, 5, male and female In the fringes, Yokkaichi,,,11/06/2016,07:00,24,JP,traveling,1,30,N,1,,,
Grey-headed Lapwing,,, 5, In the rice fields, Yokkaichi,,,11/07/2016,08:00,24,JP,traveling,1,30,N,1,,,
Spot-billed Duck,,, 5, In river under the train, Nagoya,,,11/07/2016,11:30,23,JP,incidental,1,30,N,,,,
Black Kite,,, 4, Hovering over city, Shinkansen,,,11/07/2016,16:00,23,JP,incidental,1,30,N,,,,
Eastern Great Egret,,, 1, Flying, Shinkansen,,,11/07/2016,16:30,23,JP,incidental,1,30,N,,,,
Eurasian Wigeon,,, 6, female dabbling in river, Oiso,,,11/08/2016,07:45,14,JP,incidental,1,30,N,,,,
Western Yellow Wagtail,,, 1, Dabbling on a stone in a river, Hakone,,,11/08/2016,12:35,14,JP,incidental,1,30,N,,,,
Japanese Pygmy Woodpecker,,, 2, Eating berries and woodpecking in a tree, Hakone,,,11/09/2016,15:45,14,JP,incidental,1,30,N,,,,
