"ML Catalog #",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)",Comments,"Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL"
134122401,Photo,"Anser caerulescens","Snow Goose",,"Richard Littauer",11/21/2017,2017,11,21,1500,Canada,Quebec,"Le Haut-Richelieu",Saint-Sébastien,45.136,-73.1355,,,,"Not Used",,,,,,,S41867487,,,,,"A very large flock of hundreds of Snow Geese near the highway. Stopped and looked at them from a distance; I'm not proficient at judging numbers like this, but there were at least 1000.",,,,"Anser caerulescens",snogoo,Species,239.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134122401","https://ebird.org/view/checklist/S41867487","https://ebird.org/species/snogoo"
134122301,Photo,"Phalacrocorax auritus","Double-crested Cormorant",,"Richard Littauer",11/8/2017,2017,11,8,1500,Canada,Quebec,Montréal,"Beaver Lake, Mount Royal",45.4992,-73.5966,,,,"Not Used",,,,,,,S51498220,,,,,,,,,"Phalacrocorax auritus",doccor,Species,6948.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134122301","https://ebird.org/view/checklist/S51498220","https://ebird.org/species/doccor"
134121981,Photo,"Bubo scandiacus","Snowy Owl",,"Richard Littauer",11/25/2017,2017,11,25,1210,"United States",Massachusetts,Barnstable,"End of Nauset Beach, Orleans",41.8107,-69.9372,,,,"Not Used",,,,,,,S41843580,,,,,,,,,"Bubo scandiacus",snoowl1,Species,8399.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134121981","https://ebird.org/view/checklist/S41843580","https://ebird.org/species/snoowl1"
134121971,Photo,"Bubo scandiacus","Snowy Owl",,"Richard Littauer",11/25/2017,2017,11,25,1210,"United States",Massachusetts,Barnstable,"End of Nauset Beach, Orleans",41.8107,-69.9372,,,,"Not Used",,,,,,,S41843580,,,,,,,,,"Bubo scandiacus",snoowl1,Species,8399.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134121971","https://ebird.org/view/checklist/S41843580","https://ebird.org/species/snoowl1"
134121961,Photo,"Bubo scandiacus","Snowy Owl",,"Richard Littauer",11/25/2017,2017,11,25,1210,"United States",Massachusetts,Barnstable,"End of Nauset Beach, Orleans",41.8107,-69.9372,,,,"Not Used",,,,,,,S41843580,,,,,,,,,"Bubo scandiacus",snoowl1,Species,8399.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134121961","https://ebird.org/view/checklist/S41843580","https://ebird.org/species/snoowl1"
134121951,Photo,"Bubo scandiacus","Snowy Owl",,"Richard Littauer",11/25/2017,2017,11,25,1210,"United States",Massachusetts,Barnstable,"End of Nauset Beach, Orleans",41.8107,-69.9372,,,,"Not Used",,,,,,,S41843580,,,,,,,,,"Bubo scandiacus",snoowl1,Species,8399.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134121951","https://ebird.org/view/checklist/S41843580","https://ebird.org/species/snoowl1"
134121941,Photo,"Bubo scandiacus","Snowy Owl",,"Richard Littauer",11/25/2017,2017,11,25,1210,"United States",Massachusetts,Barnstable,"End of Nauset Beach, Orleans",41.8107,-69.9372,,,,"Not Used",,,,,,,S41843580,,,,,,,,,"Bubo scandiacus",snoowl1,Species,8399.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134121941","https://ebird.org/view/checklist/S41843580","https://ebird.org/species/snoowl1"
134121761,Photo,"Perisoreus canadensis","Canada Jay",,"Richard Littauer",10/25/2017,2017,10,25,1100,Canada,"Newfoundland and Labrador","Labrador-Happy Valley-Goose Bay",Labrador--Schefferville,54.7804,-66.827,,,,"Not Used",,,,,,,S41839200,,,,,,,,,"Perisoreus canadensis",gryjay,Species,20094.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134121761","https://ebird.org/view/checklist/S41839200","https://ebird.org/species/gryjay"
134121751,Photo,"Perisoreus canadensis","Canada Jay",,"Richard Littauer",10/25/2017,2017,10,25,1100,Canada,"Newfoundland and Labrador","Labrador-Happy Valley-Goose Bay",Labrador--Schefferville,54.7804,-66.827,,,,"Not Used",,,,,,,S41839200,,,,,,,,,"Perisoreus canadensis",gryjay,Species,20094.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134121751","https://ebird.org/view/checklist/S41839200","https://ebird.org/species/gryjay"
134121741,Photo,"Perisoreus canadensis","Canada Jay",,"Richard Littauer",10/25/2017,2017,10,25,1100,Canada,"Newfoundland and Labrador","Labrador-Happy Valley-Goose Bay",Labrador--Schefferville,54.7804,-66.827,,,,"Not Used",,,,,,,S41839200,,,,,,,,,"Perisoreus canadensis",gryjay,Species,20094.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134121741","https://ebird.org/view/checklist/S41839200","https://ebird.org/species/gryjay"
134121731,Photo,"Perisoreus canadensis","Canada Jay",,"Richard Littauer",10/25/2017,2017,10,25,1100,Canada,"Newfoundland and Labrador","Labrador-Happy Valley-Goose Bay",Labrador--Schefferville,54.7804,-66.827,,,,"Not Used",,,,,,,S41839200,,,,,,,,,"Perisoreus canadensis",gryjay,Species,20094.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134121731","https://ebird.org/view/checklist/S41839200","https://ebird.org/species/gryjay"
134121721,Photo,"Perisoreus canadensis","Canada Jay",,"Richard Littauer",10/25/2017,2017,10,25,1100,Canada,"Newfoundland and Labrador","Labrador-Happy Valley-Goose Bay",Labrador--Schefferville,54.7804,-66.827,,,,"Not Used",,,,,,,S41839200,,,,,,,,,"Perisoreus canadensis",gryjay,Species,20094.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134121721","https://ebird.org/view/checklist/S41839200","https://ebird.org/species/gryjay"
134121381,Photo,"Corvus corax","Common Raven",,"Richard Littauer",6/2/2017,2017,6,2,1338,"United Kingdom",Scotland,Highland,"Buchaille Etive Mor",56.647,-4.8987,,,,"Not Used",,,,,,,S51497935,,,,,,,,,"Corvus corax",comrav,Species,20536.0,,,2.0,1,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134121381","https://ebird.org/view/checklist/S51497935","https://ebird.org/species/comrav"
134121371,Photo,"Corvus corax","Common Raven",,"Richard Littauer",6/2/2017,2017,6,2,1338,"United Kingdom",Scotland,Highland,"Buchaille Etive Mor",56.647,-4.8987,,,,"Not Used",,,,,,,S51497935,,,,,,,,,"Corvus corax",comrav,Species,20536.0,,,2.0,1,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134121371","https://ebird.org/view/checklist/S51497935","https://ebird.org/species/comrav"
134121361,Photo,"Corvus corax","Common Raven",,"Richard Littauer",6/2/2017,2017,6,2,1338,"United Kingdom",Scotland,Highland,"Buchaille Etive Mor",56.647,-4.8987,,,,"Not Used",,,,,,,S51497935,,,,,,,,,"Corvus corax",comrav,Species,20536.0,,,2.0,1,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134121361","https://ebird.org/view/checklist/S51497935","https://ebird.org/species/comrav"
134121351,Photo,"Corvus corax","Common Raven",,"Richard Littauer",6/2/2017,2017,6,2,1338,"United Kingdom",Scotland,Highland,"Buchaille Etive Mor",56.647,-4.8987,,,,"Not Used",,,,,,,S51497935,,,,,,,,,"Corvus corax",comrav,Species,20536.0,,,3.0,1,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134121351","https://ebird.org/view/checklist/S51497935","https://ebird.org/species/comrav"
134115371,Photo,"Acridotheres tristis","Common Myna",,"Richard Littauer",5/20/2016,2016,5,20,1400,Thailand,Krabi,,"Long Beach",7.6098,99.032,,,,"Not Used",,,,,,,S41518383,,,,,,,,,"Acridotheres tristis",commyn,Species,28477.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134115371","https://ebird.org/view/checklist/S41518383","https://ebird.org/species/commyn"
134114441,Photo,"Anser anser","Graylag Goose",,"Richard Littauer",1/25/2016,2016,1,25,1536,Iceland,Höfuðborgarsvæði,,Lækjartorg,64.1476,-21.9365,,,,"Not Used",,,,,,,S51496429,,,,,,,,,"Anser anser",gragoo,Species,245.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134114441","https://ebird.org/view/checklist/S51496429","https://ebird.org/species/gragoo"
134114421,Photo,"Anser anser","Graylag Goose",,"Richard Littauer",1/25/2016,2016,1,25,1536,Iceland,Höfuðborgarsvæði,,Lækjartorg,64.1476,-21.9365,,,,"Not Used",,,,,,,S51496429,,,,,,,,,"Anser anser",gragoo,Species,245.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134114421","https://ebird.org/view/checklist/S51496429","https://ebird.org/species/gragoo"
134113931,Photo,"Corvus monedula","Eurasian Jackdaw",,"Richard Littauer",1/16/2016,2016,1,16,1257,Norway,Akershus,,"Oslo Airport",60.1918,11.0958,,,,"Not Used",,,,,,,S41519548,,,,,,,,,"Corvus monedula",eurjac,Species,20428.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134113931","https://ebird.org/view/checklist/S41519548","https://ebird.org/species/eurjac"
134113471,Photo,"Anas platyrhynchos",Mallard,,"Richard Littauer",1/17/2016,2016,1,17,1200,Norway,Oslo,,Akerselva--Grønland,59.9135,10.7581,,,,"Not Used",,,,,,,S51496280,,,,,,,,,"Anas platyrhynchos",mallar3,Species,464.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134113471","https://ebird.org/view/checklist/S51496280","https://ebird.org/species/mallar3"
134113451,Photo,"Anas platyrhynchos",Mallard,,"Richard Littauer",1/17/2016,2016,1,17,1200,Norway,Oslo,,Akerselva--Grønland,59.9135,10.7581,,,,"Not Used",,,,,,,S51496280,,,,,,,,,"Anas platyrhynchos",mallar3,Species,464.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134113451","https://ebird.org/view/checklist/S51496280","https://ebird.org/species/mallar3"
134110581,Photo,"Anatinae sp.","duck sp.",,"Richard Littauer",1/30/2018,2018,1,30,720,"Antigua and Barbuda","Saint Paul",,"AG-Antigua and Barbuda-Potworks Dam Drive (17.0332,-61.7417)",17.0332,-61.7417,,,,"Not Used",,,,,,,S42359259,X,,,,"Possibly whistling duck. Unable to determine.",,,,"Anatinae sp.",duck1,Spuh,676.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134110581","https://ebird.org/view/checklist/S42359259",
134110361,Photo,"Setophaga petechia","Yellow Warbler",,"Richard Littauer",1/30/2018,2018,1,30,720,"Antigua and Barbuda","Saint Paul",,"AG-Antigua and Barbuda-Potworks Dam Drive (17.0332,-61.7417)",17.0332,-61.7417,,,,"Not Used",,,,,,,S42359259,,,,,,,,,"Setophaga petechia",yelwar,Species,31756.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134110361","https://ebird.org/view/checklist/S42359259","https://ebird.org/species/yelwar"
134110351,Photo,"Setophaga petechia","Yellow Warbler",,"Richard Littauer",1/30/2018,2018,1,30,720,"Antigua and Barbuda","Saint Paul",,"AG-Antigua and Barbuda-Potworks Dam Drive (17.0332,-61.7417)",17.0332,-61.7417,,,,"Not Used",,,,,,,S42359259,,,,,,,,,"Setophaga petechia",yelwar,Species,31756.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134110351","https://ebird.org/view/checklist/S42359259","https://ebird.org/species/yelwar"
134110341,Photo,"Setophaga petechia","Yellow Warbler",,"Richard Littauer",1/30/2018,2018,1,30,720,"Antigua and Barbuda","Saint Paul",,"AG-Antigua and Barbuda-Potworks Dam Drive (17.0332,-61.7417)",17.0332,-61.7417,,,,"Not Used",,,,,,,S42359259,,,,,,,,,"Setophaga petechia",yelwar,Species,31756.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134110341","https://ebird.org/view/checklist/S42359259","https://ebird.org/species/yelwar"
134109781,Photo,"Buteo jamaicensis abieticola","Red-tailed Hawk (abieticola)",,"Richard Littauer",1/13/2018,2018,1,13,930,"United States",Massachusetts,Norfolk,"Holly Hill Farms Cornelia and Richardson White Woods",42.2525,-70.8209,,,,"Not Used",,,,,,,S41862064,,,,,"Dark head with a lack of a pale throat, with red chest and a dark dribbling in the belly. Subspecies identified from photo, not at time of sighting.",,,,"Buteo jamaicensis",rethaw4,Form,7958.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134109781","https://ebird.org/view/checklist/S41862064","https://ebird.org/species/rethaw"
134109771,Photo,"Buteo jamaicensis abieticola","Red-tailed Hawk (abieticola)",,"Richard Littauer",1/13/2018,2018,1,13,930,"United States",Massachusetts,Norfolk,"Holly Hill Farms Cornelia and Richardson White Woods",42.2525,-70.8209,,,,"Not Used",,,,,,,S41862064,,,,,"Dark head with a lack of a pale throat, with red chest and a dark dribbling in the belly. Subspecies identified from photo, not at time of sighting.",,,,"Buteo jamaicensis",rethaw4,Form,7958.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134109771","https://ebird.org/view/checklist/S41862064","https://ebird.org/species/rethaw"
134109761,Photo,"Buteo jamaicensis abieticola","Red-tailed Hawk (abieticola)",,"Richard Littauer",1/13/2018,2018,1,13,930,"United States",Massachusetts,Norfolk,"Holly Hill Farms Cornelia and Richardson White Woods",42.2525,-70.8209,,,,"Not Used",,,,,,,S41862064,,,,,"Dark head with a lack of a pale throat, with red chest and a dark dribbling in the belly. Subspecies identified from photo, not at time of sighting.",,,,"Buteo jamaicensis",rethaw4,Form,7958.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134109761","https://ebird.org/view/checklist/S41862064","https://ebird.org/species/rethaw"
134109351,Photo,"Arenaria interpres","Ruddy Turnstone",,"Richard Littauer",1/25/2018,2018,1,25,1000,"Antigua and Barbuda","Saint Paul",,"Falmouth Harbour",17.0114,-61.771,,,,"Not Used",,,,,,,S42225903,,,,,,,,,"Arenaria interpres",rudtur,Species,5795.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134109351","https://ebird.org/view/checklist/S42225903","https://ebird.org/species/rudtur"
134109341,Photo,"Arenaria interpres","Ruddy Turnstone",,"Richard Littauer",1/25/2018,2018,1,25,1000,"Antigua and Barbuda","Saint Paul",,"Falmouth Harbour",17.0114,-61.771,,,,"Not Used",,,,,,,S42225903,,,,,,,,,"Arenaria interpres",rudtur,Species,5795.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134109341","https://ebird.org/view/checklist/S42225903","https://ebird.org/species/rudtur"
134109331,Photo,"Arenaria interpres","Ruddy Turnstone",,"Richard Littauer",1/25/2018,2018,1,25,1000,"Antigua and Barbuda","Saint Paul",,"Falmouth Harbour",17.0114,-61.771,,,,"Not Used",,,,,,,S42225903,,,,,,,,,"Arenaria interpres",rudtur,Species,5795.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134109331","https://ebird.org/view/checklist/S42225903","https://ebird.org/species/rudtur"
134109261,Photo,"Loxigilla noctis","Lesser Antillean Bullfinch",,"Richard Littauer",1/27/2018,2018,1,27,1632,"Antigua and Barbuda","Saint Paul",,"AG-Antigua and Barbuda-Dockyard Drive (17.0097,-61.7678)",17.0097,-61.7678,,,,"Not Used",,,,,,,S42282934,,,,,,,,,"Loxigilla noctis",leabul1,Species,33324.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134109261","https://ebird.org/view/checklist/S42282934","https://ebird.org/species/leabul1"
134109231,Photo,"Loxigilla noctis","Lesser Antillean Bullfinch",,"Richard Littauer",1/27/2018,2018,1,27,1632,"Antigua and Barbuda","Saint Paul",,"AG-Antigua and Barbuda-Dockyard Drive (17.0097,-61.7678)",17.0097,-61.7678,,,,"Not Used",,,,,,,S42282934,,,,,,,,,"Loxigilla noctis",leabul1,Species,33324.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134109231","https://ebird.org/view/checklist/S42282934","https://ebird.org/species/leabul1"
134109221,Photo,"Loxigilla noctis","Lesser Antillean Bullfinch",,"Richard Littauer",1/27/2018,2018,1,27,1632,"Antigua and Barbuda","Saint Paul",,"AG-Antigua and Barbuda-Dockyard Drive (17.0097,-61.7678)",17.0097,-61.7678,,,,"Not Used",,,,,,,S42282934,,,,,,,,,"Loxigilla noctis",leabul1,Species,33324.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134109221","https://ebird.org/view/checklist/S42282934","https://ebird.org/species/leabul1"
134108801,Photo,"Columbina passerina","Common Ground-Dove",,"Richard Littauer",1/27/2018,2018,1,27,1435,"Antigua and Barbuda","Saint Paul",,"AG-Antigua and Barbuda (17.0083,-61.7642)",17.0083,-61.7642,,,,"Not Used",,,,,,,S42277792,,,,,,,,,"Columbina passerina",cogdov,Species,2162.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134108801","https://ebird.org/view/checklist/S42277792","https://ebird.org/species/cogdov"
134108791,Photo,"Columbina passerina","Common Ground-Dove",,"Richard Littauer",1/27/2018,2018,1,27,1435,"Antigua and Barbuda","Saint Paul",,"AG-Antigua and Barbuda (17.0083,-61.7642)",17.0083,-61.7642,,,,"Not Used",,,,,,,S42277792,,,,,,,,,"Columbina passerina",cogdov,Species,2162.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134108791","https://ebird.org/view/checklist/S42277792","https://ebird.org/species/cogdov"
134108781,Photo,"Columbina passerina","Common Ground-Dove",,"Richard Littauer",1/27/2018,2018,1,27,1435,"Antigua and Barbuda","Saint Paul",,"AG-Antigua and Barbuda (17.0083,-61.7642)",17.0083,-61.7642,,,,"Not Used",,,,,,,S42277792,,,,,,,,,"Columbina passerina",cogdov,Species,2162.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134108781","https://ebird.org/view/checklist/S42277792","https://ebird.org/species/cogdov"
134108771,Photo,"Columbina passerina","Common Ground-Dove",,"Richard Littauer",1/27/2018,2018,1,27,1435,"Antigua and Barbuda","Saint Paul",,"AG-Antigua and Barbuda (17.0083,-61.7642)",17.0083,-61.7642,,,,"Not Used",,,,,,,S42277792,,,,,,,,,"Columbina passerina",cogdov,Species,2162.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134108771","https://ebird.org/view/checklist/S42277792","https://ebird.org/species/cogdov"
134108661,Photo,"Coereba flaveola",Bananaquit,,"Richard Littauer",2/5/2018,2018,2,5,700,"Antigua and Barbuda","Saint Paul",,"AG-Antigua and Barbuda (17.0359,-61.7429)",17.0359,-61.7429,,,,"Not Used",,,,,,,S42509439,,,,,,,,,"Coereba flaveola",banana,Species,33242.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134108661","https://ebird.org/view/checklist/S42509439","https://ebird.org/species/banana"
134108571,Photo,"Butorides virescens","Green Heron",,"Richard Littauer",2/4/2018,2018,2,4,1730,"Antigua and Barbuda","Saint Paul",,"Dockyard Drive, AG",17.0214,-61.766,,,,"Not Used",,,,,,,S42509532,,,,,,,,,"Butorides virescens",grnher,Species,7130.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134108571","https://ebird.org/view/checklist/S42509532","https://ebird.org/species/grnher"
134108441,Photo,"Haematopus palliatus","American Oystercatcher",,"Richard Littauer",1/28/2018,2018,1,28,1627,"Antigua and Barbuda","Saint Paul",,"AG-Antigua and Barbuda (17.0046,-61.7633)",17.0046,-61.7633,,,,"Not Used",,,,,,,S42314341,,,,,,,,,"Haematopus palliatus",ameoys,Species,5565.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134108441","https://ebird.org/view/checklist/S42314341","https://ebird.org/species/ameoys"
134108431,Photo,"Haematopus palliatus","American Oystercatcher",,"Richard Littauer",1/28/2018,2018,1,28,1627,"Antigua and Barbuda","Saint Paul",,"AG-Antigua and Barbuda (17.0046,-61.7633)",17.0046,-61.7633,,,,"Not Used",,,,,,,S42314341,,,,,,,,,"Haematopus palliatus",ameoys,Species,5565.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134108431","https://ebird.org/view/checklist/S42314341","https://ebird.org/species/ameoys"
134107931,Photo,"Perisoreus canadensis","Canada Jay",,"Richard Littauer",9/16/2018,2018,9,16,1800,Canada,Quebec,"Le Haut-Saint-François","PN du Mt-Mégantic--sommet du Mt-Mégantic",45.4556,-71.1535,,,,"Not Used",,,,,,,S51021411,,,,,,,,,"Perisoreus canadensis",gryjay,Species,20094.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134107931","https://ebird.org/view/checklist/S51021411","https://ebird.org/species/gryjay"
134107631,Photo,"Larus occidentalis","Western Gull",,"Richard Littauer",6/1/2014,2014,6,1,1940,"United States",California,"San Diego","Ocean Beach--end of Santa Cruz Ave.",32.744,-117.2552,,,,"Not Used",,,,,,,S51494866,,,,,,,,,"Larus occidentalis",wesgul,Species,6227.0,,,1.0,1,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134107631","https://ebird.org/view/checklist/S51494866","https://ebird.org/species/wesgul"
134107621,Photo,"Larus occidentalis","Western Gull",,"Richard Littauer",6/1/2014,2014,6,1,1940,"United States",California,"San Diego","Ocean Beach--end of Santa Cruz Ave.",32.744,-117.2552,,,,"Not Used",,,,,,,S51494866,,,,,,,,,"Larus occidentalis",wesgul,Species,6227.0,,,2.0,1,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134107621","https://ebird.org/view/checklist/S51494866","https://ebird.org/species/wesgul"
134107611,Photo,"Larus occidentalis","Western Gull",,"Richard Littauer",6/1/2014,2014,6,1,1940,"United States",California,"San Diego","Ocean Beach--end of Santa Cruz Ave.",32.744,-117.2552,,,,"Not Used",,,,,,,S51494866,,,,,,,,,"Larus occidentalis",wesgul,Species,6227.0,,,2.0,1,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134107611","https://ebird.org/view/checklist/S51494866","https://ebird.org/species/wesgul"
134107601,Photo,"Larus occidentalis","Western Gull",,"Richard Littauer",6/1/2014,2014,6,1,1940,"United States",California,"San Diego","Ocean Beach--end of Santa Cruz Ave.",32.744,-117.2552,,,,"Not Used",,,,,,,S51494866,,,,,,,,,"Larus occidentalis",wesgul,Species,6227.0,,,2.0,1,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134107601","https://ebird.org/view/checklist/S51494866","https://ebird.org/species/wesgul"
134107591,Photo,"Larus occidentalis","Western Gull",,"Richard Littauer",6/1/2014,2014,6,1,1940,"United States",California,"San Diego","Ocean Beach--end of Santa Cruz Ave.",32.744,-117.2552,,,,"Not Used",,,,,,,S51494866,,,,,,,,,"Larus occidentalis",wesgul,Species,6227.0,,,3.0,1,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134107591","https://ebird.org/view/checklist/S51494866","https://ebird.org/species/wesgul"
134107581,Photo,"Larus occidentalis","Western Gull",,"Richard Littauer",6/1/2014,2014,6,1,1940,"United States",California,"San Diego","Ocean Beach--end of Santa Cruz Ave.",32.744,-117.2552,,,,"Not Used",,,,,,,S51494866,,,,,,,,,"Larus occidentalis",wesgul,Species,6227.0,,,3.0,1,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134107581","https://ebird.org/view/checklist/S51494866","https://ebird.org/species/wesgul"
134101871,Photo,"Branta canadensis","Canada Goose",,"Richard Littauer",11/28/2013,2013,11,28,1519,"United States",Massachusetts,Norfolk,"Holly Hill Farms Cornelia and Richardson White Woods",42.2525,-70.8209,,,,"Not Used",,,,,,,S51493332,,,,,,,,,"Branta canadensis",cangoo,Species,296.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134101871","https://ebird.org/view/checklist/S51493332","https://ebird.org/species/cangoo"
134101861,Photo,"Branta canadensis","Canada Goose",,"Richard Littauer",11/28/2013,2013,11,28,1519,"United States",Massachusetts,Norfolk,"Holly Hill Farms Cornelia and Richardson White Woods",42.2525,-70.8209,,,,"Not Used",,,,,,,S51493332,,,,,,,,,"Branta canadensis",cangoo,Species,296.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134101861","https://ebird.org/view/checklist/S51493332","https://ebird.org/species/cangoo"
134101711,Photo,"Cygnus olor","Mute Swan",,"Richard Littauer",3/3/2013,2013,3,3,941,Switzerland,Genève,,"Île Rousseau",46.2059,6.1477,,,,"Not Used",,,,,,,S51493290,,,,,,,,,"Cygnus olor",mutswa,Species,328.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134101711","https://ebird.org/view/checklist/S51493290","https://ebird.org/species/mutswa"
134101701,Photo,"Cygnus olor","Mute Swan",,"Richard Littauer",3/3/2013,2013,3,3,941,Switzerland,Genève,,"Île Rousseau",46.2059,6.1477,,,,"Not Used",,,,,,,S51493290,,,,,,,,,"Cygnus olor",mutswa,Species,328.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",,,"https://macaulaylibrary.org/asset/134101701","https://ebird.org/view/checklist/S51493290","https://ebird.org/species/mutswa"
